screen_name,cap_en,cap_unv
ElizabethEiler,0.05272348371475359,0.13065598435976788
matttodda,0.0019457839054003979,0.0033536770167744536
BennyHill_MBGA,0.005363701003450149,0.030450444848239933
Lunarheritage,0.016566752245969804,0.04342086940555935
MY_BORDERCOLLIE,0.0019457839054003979,0.003940623559956331
AlexReagan123,0.004268306222830912,0.01645230483113907
MiriamGoi,0.001725457650971877,0.003116817556886547
AsukaSzayn23,0.18036203754175442,0.05430460982015838
mdavidziuk,0.12514574764971045,0.08385114734671234
SarahBo18687778,0.3868425932473016,0.29676876603976116
msully65,0.0034565375041747688,0.01859922727344653
pheiden,0.028225552221050176,0.11693596663244112
ChamroeumNaqda,0.004268306222830912,0.012907437350993261
DanaCheuka,0.00682617488477388,0.038677030425236264
moosethebear,0.0015543510151536995,0.002571043998532308
Paul_Waller_62,0.011259346570646776,0.04861529098537897
BroadSideways,0.0013611897321404152,0.0027296301902785666
BeccaFromTX,0.0026183131920431966,0.003116817556886547
TommiTrudeau,0.03657805288858329,0.030450444848239933
WoolseyCnynFire,0.15990913252190533,0.13065598435976788
RMRealtor,0.18036203754175442,0.07519311407072778
aqcheema,0.14157391067567082,0.021041094138717433
TommyL1963,0.012788431177246198,0.007183846426565749
Kynes3,0.003134129284123964,0.012907437350993261
Angel2477036223,0.028225552221050176,0.06747906081432216
NXd1c3JrwqW4y07,0.7161435017477831,0.611464313617347
abdulkhawaja101,0.08590409243653727,0.01859922727344653
SylvainPoliquin,0.0012616932230026553,0.0021009963244625067
LizzGBrown,0.0013611897321404152,0.0029102973297387607
mutalabala,0.005363701003450149,0.006431292840898396
says_missy,0.001725457650971877,0.021041094138717433
pratt2Happy,0.15990913252190533,0.08385114734671234
highmindthought,0.016566752245969804,0.05430460982015838
s2swHf0gcHCvYar,0.9727339711371419,0.9279405901296212
GoochMaga,0.04142512584947667,0.18030310025096605
Zwoodbutcher,0.09741389119048932,0.13065598435976788
thisbroad,0.0016347149115980926,0.0023079208238384373
Charmer18,0.0038317559975942547,0.005778300973814037
PatrioticVegan,0.22851217352302083,0.1998825988113924
hester_hen,0.12514574764971045,0.10460347933351005
Sassysally727,0.18036203754175442,0.06747906081432216
MasonIreton1,0.08590409243653727,0.05430460982015838
SzPiotrowski2,0.0026183131920431966,0.0033536770167744536
HuckabyJulia,0.002856940094612955,0.0029102973297387607
GuiHVera,0.014543680863094452,0.005213309669283597
laddawan_r,0.05942480200270631,0.29676876603976116
omgitsmichelle2,0.0012183789109573519,0.0024313661894161103
csouthard96,0.0019457839054003979,0.0019358455432931132
nGdner2UwHy7zXY,0.9727339711371419,0.9391522726089021
hopemaga,0.028225552221050176,0.16230758351843008
daffy1963,0.45227900229523627,0.24446254495086733
roodnitsky,0.6662767818190388,0.04342086940555935
SuckMyLEFTJuan,0.004268306222830912,0.005778300973814037
Gina52G,0.028225552221050176,0.011448498001345467
MrRobertdark,0.04142512584947667,0.023811568542435598
